,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
301,1952,Oslo,Bobsleigh,Bobsleigh,SUI,four-man,M,Bronze
302,1952,Oslo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
303,1952,Oslo,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Bronze
304,1952,Oslo,Skating,Speed skating,SWE,10000m,M,Bronze
305,1952,Oslo,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
306,1952,Oslo,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Bronze
307,1952,Oslo,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
308,1952,Oslo,Bobsleigh,Bobsleigh,USA,two-man,M,Silver
309,1952,Oslo,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
310,1952,Oslo,Skating,Figure skating,USA,individual,M,Bronze
311,1952,Oslo,Skating,Figure skating,USA,individual,M,Gold
312,1952,Oslo,Skating,Figure skating,USA,individual,W,Silver
313,1952,Oslo,Skating,Figure skating,USA,pairs,X,Silver
314,1952,Oslo,Skating,Speed skating,USA,500m,M,Gold
315,1952,Oslo,Skating,Speed skating,USA,500m,M,Silver
316,1952,Oslo,Skiing,Alpine Skiing,USA,giant slalom,W,Gold
317,1952,Oslo,Skiing,Alpine Skiing,USA,slalom,W,Gold
318,1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,individual,W,Bronze
319,1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,pairs,X,Gold
320,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
321,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Gold
322,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
323,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Gold
324,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
325,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze
326,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
327,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
328,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,W,Silver
329,1956,Cortina d'Ampezzo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Bronze
330,1956,Cortina d'Ampezzo,Skating,Figure skating,CAN,pairs,X,Silver
331,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,CAN,downhill,W,Bronze
332,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,EUA,giant slalom,W,Gold
333,1956,Cortina d'Ampezzo,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Bronze
334,1956,Cortina d'Ampezzo,Skating,Speed skating,FIN,1500m,M,Bronze
335,1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,30km mass start,M,Gold
336,1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,3x5km relay,W,Gold
337,1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
338,1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,50km,M,Silver
339,1956,Cortina d'Ampezzo,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Gold
340,1956,Cortina d'Ampezzo,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Silver
341,1956,Cortina d'Ampezzo,Skating,Figure skating,HUN,pairs,X,Bronze
342,1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver
343,1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,two-man,M,Gold
344,1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,two-man,M,Silver
345,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,JPN,slalom,M,Silver
346,1956,Cortina d'Ampezzo,Skating,Speed skating,NOR,10000m,M,Silver
